Agemos,L,M,S,P3,P10,P25,P50,P75,P90,P97
73.5,-1.098152984,20.97242631,0.139855242,16.64539409,17.80708353,19.17198834,20.97242631,23.16844769,25.60529875,28.60616106
74.5,-1.10933408,21.16779192,0.140559605,16.78784656,17.96197153,19.34310643,21.16779192,23.39803173,25.87919213,28.94432077
75.5,-1.120974043,21.36383013,0.141256489,16.93106986,18.11753578,19.51484724,21.36383013,23.62858485,26.15476795,29.2857444
76.5,-1.133024799,21.56058467,0.141946613,17.07507197,18.2737959,19.68724198,21.56058467,23.86016456,26.43210324,29.63055429
77.5,-1.145431351,21.75810506,0.142630785,17.21985864,18.43077195,19.86032494,21.75810506,24.09283575,26.71128177,29.97887524
78.5,-1.158132499,21.95644627,0.143309898,17.36543339,18.58848423,20.03413327,21.95644627,24.32667035,26.99239357,30.33083356
79.5,-1.171061612,22.15566842,0.143984924,17.51179749,18.74695318,20.20870673,22.15566842,24.56174697,27.27553447,30.68655618
80.5,-1.184141975,22.35583862,0.144656953,17.65894807,18.90619877,20.38408835,22.35583862,24.79815314,27.56080718,31.04616685
81.5,-1.197307185,22.55702268,0.145327009,17.80688538,19.06624222,20.56032091,22.55702268,25.03597537,27.84831538,31.40979543
82.5,-1.210475099,22.75929558,0.145996289,17.95560314,19.22710346,20.73745116,22.75929558,25.27531174,28.13817063,31.77756321
83.5,-1.223565263,22.9627344,0.146666,18.10509471,19.38880264,20.9155269,22.9627344,25.51626345,28.43048732,32.14959054
84.5,-1.236497304,23.16741888,0.147337375,18.25535252,19.55135989,21.09459707,23.16741888,25.75893543,28.72538282,32.52599493
85.5,-1.249186293,23.37343341,0.148011715,18.4063661,19.71479476,21.2747126,23.37343341,26.00343881,29.02297867,32.90688716
86.5,-1.261555446,23.58086145,0.148690256,18.55812709,19.87912757,21.45592408,23.58086145,26.24988395,29.32339625,33.29237745
87.5,-1.273523619,23.78979096,0.149374297,18.71062426,20.044378,21.63828396,23.78979096,26.49838713,29.62676053,33.68256717
88.5,-1.285013783,24.00031064,0.150065107,18.86384686,20.21056603,21.82184504,24.00031064,26.74906587,29.93319702,34.07755271
