Length,L,M,S,P3,P15,P50,P85,P97
89.5,-3.833,12.3477,8.903,10.5,11.3,12.3,13.6,14.7
90,-3.833,12.4723,8.906,10.6,11.4,12.5,13.7,14.8
90.5,-3.833,12.5965,8.909,10.7,11.5,12.6,13.8,15
91,-3.833,12.7205,8.913,10.8,11.6,12.7,14,15.1
91.5,-3.833,12.8443,8.918,10.9,11.7,12.8,14.1,15.3
92,-3.833,12.9681,8.923,11,11.8,13,14.2,15.4
92.5,-3.833,13.092,8.928,11.1,12,13.1,14.4,15.6
93,-3.833,132.158,8.934,11.2,12.1,13.2,14.5,15.7
93.5,-3.833,133.399,8.941,11.3,12.2,13.3,14.7,15.9
94,-3.833,134.643,8.948,11.4,12.3,13.5,14.8,16
94.5,-3.833,135.892,8.955,11.5,12.4,13.6,14.9,16.2
95,-3.833,137.146,8.963,11.6,12.5,13.7,15.1,16.3
95.5,-3.833,138.408,8.972,11.8,12.6,13.8,15.2,16.5
96,-3.833,139.676,8.981,11.9,12.7,14,15.4,16.6
96.5,-3.833,140.953,899,12,12.9,14.1,15.5,16.8
97,-3.833,142.239,0.09,12.1,13,14.2,15.6,16.9
97.5,-3.833,143.537,901,12.2,13.1,14.4,15.8,17.1
98,-3.833,144.848,9.021,12.3,13.2,14.5,15.9,17.3
98.5,-3.833,146.174,9.033,12.4,13.3,14.6,16.1,17.4
99,-3.833,147.519,9.044,12.5,13.5,14.8,16.2,17.6
99.5,-3.833,148.882,9.057,12.6,13.6,14.9,16.4,17.8
100,-3.833,150.267,9.069,12.7,13.7,15,16.5,17.9
100.5,-3.833,151.676,9.083,12.9,13.8,15.2,16.7,18.1
101,-3.833,153.108,9.096,13,14,15.3,16.9,18.3
101.5,-3.833,154.564,911,13.1,14.1,15.5,17,18.5
102,-3.833,156.046,9.125,13.2,14.2,15.6,17.2,18.6
102.5,-3.833,157.553,9.139,13.3,14.4,15.8,17.4,18.8
103,-3.833,159.087,9.155,13.5,14.5,15.9,17.5,19
103.5,-3.833,160.645,917,13.6,14.6,16.1,17.7,19.2
104,-3.833,162.229,9.186,13.7,14.8,16.2,17.9,19.4
104.5,-3.833,163.837,9.203,13.9,14.9,16.4,18.1,19.6
105,-3.833,16.547,9.219,14,15.1,16.5,18.2,19.8
105.5,-3.833,167.129,9.236,14.1,15.2,16.7,18.4,20
106,-3.833,168.814,9.254,14.3,15.4,16.9,18.6,20.2
106.5,-3.833,170.527,9.271,14.4,15.5,17.1,18.8,20.4
107,-3.833,172.269,9.289,14.5,15.7,17.2,19,20.6
107.5,-3.833,174.039,9.307,14.7,15.8,17.4,19.2,20.9
108,-3.833,175.839,9.326,14.8,16,17.6,19.4,21.1
108.5,-3.833,177.668,9.344,15,16.2,17.8,19.6,21.3
109,-3.833,179.526,9.363,15.1,16.3,18,19.8,21.5
109.5,-3.833,181.412,9.382,15.3,16.5,18.1,20,21.8
110,-3.833,183.324,9.401,15.4,16.7,18.3,20.2,22
