Agemos,L,M,S,P3,P10,P25,P50,P75,P90,P97
124.5,0.519041285,140.4477127,0.048077942,128.0242572,131.9224379,135.9287948,140.4477127,145.0376645,149.2294296,153.4235035
125.5,0.519454524,140.8527022,0.048191889,128.3643208,132.2827776,136.3100669,140.8527022,145.4668527,149.6808068,153.8971624
126.5,0.518588072,141.2581515,0.048304259,128.7057627,132.6440511,136.6919657,141.2581515,145.8965233,150.1328531,154.3718335
127.5,0.516433004,141.6645592,0.048414893,129.0491015,133.0067661,137.0749922,141.6645592,146.3271773,150.5860767,154.8480367
128.5,0.513006312,142.072452,0.048523648,129.394862,133.3714475,137.4596717,142.072452,146.7593449,151.0410123,155.3263129
129.5,0.508352901,142.4823852,0.048630402,129.7435732,133.738635,137.8465525,142.4823852,147.1935849,151.4982199,155.8072211
130.5,0.502547502,142.8949403,0.04873505,130.095765,134.1088817,138.2362048,142.8949403,147.630483,151.9582822,156.2913356
131.5,0.495696454,143.3107241,0.048837504,130.4519655,134.4827517,138.6292185,143.3107241,148.07065,152.4218027,156.7792423
132.5,0.487939275,143.7303663,0.048937694,130.8126976,134.8608171,139.0262015,143.7303663,148.5147188,152.8894016,157.2715342
133.5,0.479449924,144.1545167,0.049035564,131.1784756,135.2436555,139.4277761,144.1545167,148.9633421,153.3617127,157.7688063
134.5,0.470437652,144.5838414,0.049131073,131.5498015,135.6318463,139.8345767,144.5838414,149.4171874,153.839378,158.27165
135.5,0.461147305,145.0190192,0.049224189,131.9271616,136.0259671,140.2472448,145.0190192,149.876933,154.3230425,158.7806462
136.5,0.451858946,145.4607359,0.049314887,132.311022,136.4265892,140.6664253,145.4607359,150.3432618,154.8133474,159.2963578
137.5,0.442886661,145.9096784,0.049403145,132.7018251,136.8342729,141.0927603,145.9096784,150.8168546,155.3109233,159.8193221
138.5,0.434576385,146.3665278,0.049488934,133.0999854,137.2495627,141.5268837,146.3665278,151.2983826,155.8163811,160.3500415
139.5,0.427302633,146.8319513,0.049572216,133.5058853,137.6729811,141.9694138,146.8319513,151.7884983,156.3303034,160.8889743
140.5,0.421464027,147.3065929,0.049652935,133.9198714,138.1050231,142.4209457,147.3065929,152.2878255,156.8532337,161.4365245
141.5,0.417477538,147.7910635,0.049731004,134.34225,138.5461496,142.8820429,147.7910635,152.7969484,157.3856659,161.993032
