Agemos,L,M,S,P3,P10,P25,P50,P75,P90,P97
59.5,-1.28054514,17.83781722,0.140489635,14.20687088,15.16981002,16.31173224,17.83781722,19.73395429,21.88909396,24.62758492
60.5,-1.287691525,18.02313904,0.141190842,14.34277271,15.31758235,16.47470852,18.02313904,19.95048336,22.14604136,24.94401317
61.5,-1.294332076,18.20956418,0.141884974,14.47934293,15.46614444,16.63861163,18.20956418,20.16833747,22.40459718,25.26252369
62.5,-1.300441561,18.3970876,0.142573939,14.61652406,15.61545325,16.80341543,18.3970876,20.38753372,22.66479513,25.5831532
63.5,-1.305989011,18.58571243,0.143259709,14.75426001,15.76546914,16.96909934,18.58571243,20.60809964,22.92668027,25.90594748
64.5,-1.310946941,18.77544728,0.143944216,14.89249907,15.91615695,17.13564756,18.77544728,20.83006969,23.19030686,26.23096473
65.5,-1.315289534,18.966307,0.144629359,15.03119376,16.06748615,17.30304956,18.966307,21.05348599,23.45573857,26.55827443
66.5,-1.318992925,19.15831267,0.14531699,15.17030121,16.21943117,17.4713002,19.15831267,21.27839816,23.72304816,26.88795694
67.5,-1.322035315,19.35149163,0.146008903,15.30978338,16.37197155,17.64039992,19.35149163,21.50486316,23.99231712,27.2201029
68.5,-1.324398133,19.54587708,0.146706813,15.4496077,16.52509225,17.81035463,19.54587708,21.7329446,24.263635,27.55481321
69.5,-1.326064539,19.74150854,0.147412363,15.5897467,16.67878363,17.98117606,19.74150854,21.96271325,24.53709941,27.89219758
70.5,-1.327020415,19.93843145,0.148127109,15.73017845,16.83304163,18.15288153,19.93843145,22.19424627,24.8128152,28.2323743
71.5,-1.327256387,20.13669623,0.148852482,15.87088741,16.98786798,18.32549376,20.13669623,22.42762598,25.09089343,28.57547042
72.5,-1.326763834,20.33635961,0.149589838,16.01186303,17.14326985,18.49904125,20.33635961,22.66294138,25.3714519,28.92161906
73.5,-1.325538668,20.53748298,0.1503404,16.15310112,17.29926017,18.67355775,20.53748298,22.90028597,25.65461346,29.27096042
74.5,-1.323579654,20.74013277,0.151105277,16.29460329,17.4558574,18.84908224,20.74013277,23.13975807,25.94050589,29.62364011
75.5,-1.320888012,20.94438028,0.151885464,16.43637669,17.61308542,19.02565892,20.94438028,23.38146064,26.22926131,29.97980811
76.5,-1.317468695,21.15030093,0.152681819,16.57843458,17.77097356,19.20333679,21.15030093,23.62550009,26.52101516,30.33961853
77.5,-1.313331446,21.35797332,0.15349505,16.72079656,17.92955656,19.38216922,21.35797332,23.87198507,26.815905,30.70322948
78.5,-1.308487081,21.56748045,0.154325756,16.86348713,18.08887399,19.56221428,21.56748045,24.12102802,27.11407112,31.07080008
79.5,-1.302948173,21.77890902,0.155174414,17.00653572,18.24897012,19.74353436,21.77890902,24.37274421,27.41565556,31.44248988
80.5,-1.296733913,21.99234686,0.15604132,17.14997871,18.40989435,19.92619507,21.99234686,24.62724833,27.72079958,31.81846107
81.5,-1.289863329,22.20788541,0.156926667,17.2938564,18.57170012,20.110266,22.20788541,24.88465774,28.02964533,32.19887352
82.5,-1.282358762,22.4256177,0.157830504,17.43821437,18.73444512,20.29581981,22.4256177,25.14508981,28.3423338,32.58388611
83.5,-1.274244931,22.64563824,0.158752743,17.58310295,18.89819089,20.48293203,22.64563824,25.40866182,28.65900443,32.97365535
84.5,-1.265548787,22.86804258,0.159693163,17.72857693,19.06300261,20.67168066,22.86804258,25.67549032,28.97979428,33.3683346
85.5,-1.256299378,23.09292679,0.16065141,17.87469542,19.22894873,20.86214582,23.09292679,25.94569055,29.30483741,33.76807319
86.5,-1.24653066,23.32038549,0.161626956,18.02152302,19.39610118,21.05440884,23.32038549,26.21937378,29.63426278,34.17301785
87.5,-1.236266832,23.55051871,0.162619308,18.16912246,19.56453273,21.24855446,23.55051871,26.49665657,29.96819988,34.5833014
88.5,-1.225551344,23.78341652,0.1636276,18.31756871,19.73432134,21.44466518,23.78341652,26.77764034,30.30676532,34.99906317
89.5,-1.214410914,24.01917703,0.1646511,18.46693089,19.90554403,21.64282737,24.01917703,27.06243533,30.65007797,35.42042208
90.5,-1.202884389,24.25789074,0.165688808,18.61728653,20.07828129,21.84312554,24.25789074,27.35113996,30.99824532,35.84749737
91.5,-1.191007906,24.49964778,0.166739662,18.76871394,20.25261432,22.04564463,24.49964778,27.64385046,31.3513695,36.28039703
92.5,-1.178818621,24.74453536,0.167802495,18.92129383,20.42862531,22.25046892,24.74453536,27.94065757,31.70954484,36.71922013
93.5,-1.166354376,24.99263735,0.168876037,19.07510898,20.60639712,22.45768158,24.99263735,28.24164611,32.07285742,37.16405609
94.5,-1.153653688,25.24403371,0.169958922,19.23024402,20.7860129,22.6673643,25.24403371,28.54689431,32.44138436,37.61498429
95.5,-1.140751404,25.49880264,0.171049756,19.38678267,20.96755499,22.87959773,25.49880264,28.85647669,32.81519554,38.07206991
96.5,-1.127684095,25.7570168,0.172147043,19.54481057,21.15110555,23.09445998,25.7570168,29.17045929,33.19435025,38.53536809
97.5,-1.114490244,26.01874261,0.173249185,19.70441527,21.33674635,23.31202608,26.01874261,29.4888987,33.5788965,39.00492396
98.5,-1.101204848,26.28404312,0.174354569,19.86568272,21.52455736,23.53236883,26.28404312,29.8118461,33.9688734,39.48076746
99.5,-1.087863413,26.55297507,0.175461512,20.02869944,21.71461721,23.75555744,26.55297507,30.13934341,34.3643086,39.96291669
100.5,-1.074500927,26.82558904,0.176568284,20.19355165,21.90700268,23.98165745,26.82558904,30.47142364,34.76521834,40.45137672
101.5,-1.061151213,27.1019295,0.177673124,20.36032458,22.10178826,24.21073043,27.1019295,30.80811106,35.17160751,40.94613881
102.5,-1.047847141,27.38203422,0.178774242,20.52910239,22.29904589,24.44283365,27.38203422,31.14942058,35.58346914,41.44718044
103.5,-1.034620551,27.66593402,0.179869829,20.6999678,22.49884459,24.67801969,27.66593402,31.49535747,36.00078421,41.95446506
104.5,-1.021502197,27.9536524,0.180958063,20.8730018,22.7012502,24.9163362,27.9536524,31.8459171,36.42352136,42.46794195
105.5,-1.008521695,28.24520531,0.182037118,21.04828336,22.90632506,25.15782551,28.24520531,32.20108468,36.85163675,42.98754609
106.5,-0.995707494,28.54060085,0.183105172,21.22588911,23.1141277,25.40252443,28.54060085,32.56083507,37.28507392,43.51319807
107.5,-0.983086844,28.83983907,0.18416041,21.40589307,23.32471257,25.65046392,28.83983907,32.92513255,37.72376365,44.04480409
108.5,-0.970685789,29.14291171,0.185201039,21.58836636,23.53812979,25.90166889,29.14291171,33.29393074,38.16762389,44.58225593
109.5,-0.958529157,29.44980208,0.186225287,21.77337689,23.75442484,26.15615792,29.44980208,33.66717239,38.61655976,45.12543098
110.5,-0.946640568,29.76048479,0.187231416,21.96098914,23.97363834,26.41394306,29.76048479,34.04478937,39.0704635,45.67419242
111.5,-0.935042447,30.0749257,0.188217723,22.15126389,24.19580583,26.67502964,30.0749257,34.42670255,39.52921454,46.22838923
112.5,-0.923756041,30.39308176,0.18918255,22.34425792,24.4209575,26.93941607,30.39308176,34.8128218,39.99267955,46.78785646
113.5,-0.912801445,30.71490093,0.190124286,22.54002382,24.64911804,27.20709368,30.71490093,35.20304599,40.46071256,47.3524154
114.5,-0.902197638,31.0403221,0.191041375,22.73860975,24.88030638,27.47804659,31.0403221,35.59726302,40.9331551,47.92187383
115.5,-0.891962513,31.36927506,0.191932319,22.94005917,25.11453557,27.75225159,31.36927506,35.99534989,41.40983639,48.49602631
116.5,-0.882112919,31.7016805,0.192795682,23.14441069,25.35181259,28.029678,31.7016805,36.3971728,41.89057352,49.07465451
117.5,-0.872664706,32.03744999,0.193630095,23.35169781,25.59213818,28.31028765,32.03744999,36.80258726,42.37517172,49.65752758
118.5,-0.863632768,32.37648607,0.19443426,23.56194878,25.83550673,28.59403476,32.37648607,37.21143829,42.86342465,50.24440253
119.5,-0.855031092,32.71868225,0.195206948,23.77518637,26.08190616,28.88086594,32.71868225,37.62356058,43.35511467,50.83502464
120.5,-0.846872805,33.06392318,0.195947008,23.99142774,26.33131782,29.17072015,33.06392318,38.03877869,43.85001322,51.42912799
121.5,-0.839170224,33.4120847,0.196653365,24.21068424,26.58371638,29.4635287,33.4120847,38.45690737,44.34788119,52.02643587
122.5,-0.831934903,33.76303402,0.197325023,24.43296131,26.8390698,29.7592153,33.76303402,38.87775177,44.84846931,52.62666135
123.5,-0.825177688,34.1166299,0.197961065,24.65825833,27.09733925,30.05769609,34.1166299,39.30110778,45.35151857,53.22950783
124.5,-0.818908758,34.47272283,0.198560655,24.88656847,27.35847906,30.35887971,34.47272283,39.72676238,45.8567607,53.8346696
125.5,-0.813137675,34.83115524,0.199123037,25.11787864,27.62243677,30.66266737,34.83115524,40.15449395,46.36391866,54.44183245
126.5,-0.807873433,35.19176177,0.199647538,25.35216934,27.88915304,30.96895298,35.19176177,40.58407272,46.87270712,55.0506743
127.5,-0.803122613,35.55437176,0.200133598,25.58941249,28.15856107,31.27762411,35.55437176,41.01526401,47.38283479,55.66086287
128.5,-0.79889771,35.91879976,0.200580618,25.82958069,28.43058954,31.58855853,35.91879976,41.44781609,47.89399722,56.27206944
129.5,-0.795203499,36.28486194,0.200988216,26.0726318,28.70515783,31.90163028,36.28486194,41.88148136,48.40589011,56.88394797
130.5,-0.792047959,36.65236365,0.201356017,26.31852113,28.98217994,32.21670522,36.65236365,42.31600037,48.91819978,57.49615297
131.5,-0.789435274,37.02110818,0.201683791,26.56719327,29.26156199,32.5336442,37.02110818,42.75111318,49.43061053,58.10832895
132.5,-0.787374433,37.39088668,0.201971282,26.81859231,29.5432056,32.85229967,37.39088668,43.18654635,49.94279684,58.72012509
133.5,-0.785870695,37.76148905,0.202218375,27.0726516,29.82700474,33.17251956,37.76148905,43.62202704,50.45443246,59.33118206
134.5,-0.784929893,38.1326991,0.202425006,27.3292989,30.11284746,33.49414573,38.1326991,44.05727678,50.96518685,59.94113978
135.5,-0.784557605,38.50429603,0.202591183,27.5884554,30.4006158,33.81701463,38.50429603,44.49201341,51.47472671,60.54963673
136.5,-0.78475917,38.87605489,0.20271698,27.85003573,30.69018587,34.14095759,38.87605489,44.92595166,51.98271665,61.15631078
137.5,-0.785539703,39.24774707,0.202802535,28.11394809,30.98142809,34.46580111,39.24774707,45.35880379,52.48881992,61.76079992
138.5,-0.786904102,39.61914076,0.202848049,28.38009427,31.27420739,34.79136727,39.61914076,45.79028017,52.99269914,62.36274309
139.5,-0.788858208,39.98999994,0.202853758,28.64837137,31.56838398,35.11747352,39.98999994,46.22008796,53.49401569,62.96178288
140.5,-0.791403051,40.36009244,0.202820053,28.91866389,31.8638107,35.44393549,40.36009244,46.64794172,53.99243685,63.55755646
141.5,-0.794546352,40.72917544,0.202747236,29.1908599,32.16033905,35.77056256,40.72917544,47.07354407,54.48762378,64.14971608
142.5,-0.79829102,41.09701099,0.202635758,29.46483511,32.45781366,36.09716305,41.09701099,47.4966064,54.97924502,64.73791012
143.5,-0.802640891,41.46335907,0.202486098,29.74046108,32.75607548,36.4235422,41.46335907,47.91683947,55.4669708,65.32179369
144.5,-0.807599577,41.82797963,0.202298783,30.01760377,33.05496144,36.7495031,41.82797963,48.33395608,55.9504751,65.90102746
145.5,-0.813170461,42.19063313,0.202074385,30.29612378,33.35430482,37.07484703,42.19063313,48.74767177,56.42943635,66.47527837
146.5,-0.819356692,42.55108107,0.201813521,30.57587654,33.6539355,37.39937399,42.55108107,49.15770541,56.90353811,67.04422046
147.5,-0.826161176,42.90908653,0.201516851,30.85671255,33.95368036,37.72288302,42.90908653,49.56377988,57.37246984,67.60753554
148.5,-0.833586038,43.2644155,0.201185082,31.13847695,34.25336333,38.04517298,43.2644155,49.96562365,57.83592807,68.16491273
149.5,-0.841634949,43.61683402,0.200818928,31.42101289,34.55280676,38.36604173,43.61683402,50.36296721,58.29361488,68.7160548
150.5,-0.850307441,43.9661169,0.200419208,31.70415418,34.85182934,38.68528952,43.9661169,50.75555403,58.74524431,69.26066574
151.5,-0.859607525,44.31203579,0.199986681,31.98773757,35.15025041,39.0027151,44.31203579,51.14312509,59.19053344,69.7984699
152.5,-0.869534339,44.65437319,0.199522233,32.27158972,35.44788577,39.31812066,44.65437319,51.52543729,59.62921442,70.32919455
153.5,-0.880088651,44.99291356,0.199026736,32.55553716,35.74455149,39.63130927,44.99291356,51.90225139,60.06102656,70.85258197
154.5,-0.891270585,45.32744704,0.198501096,32.83940314,36.04006296,39.94208624,45.32744704,52.273337,60.48572025,71.36838696
155.5,-0.903079458,45.65777013,0.197946255,33.12300797,36.33423538,40.25025974,45.65777013,52.63847339,60.90305741,71.87637634
156.5,-0.915513542,45.98368656,0.197363191,33.40616909,36.62688403,40.55564134,45.98368656,52.99745045,61.31281247,72.37632936
157.5,-0.928569454,46.30500858,0.196752931,33.68870064,36.91782442,40.85804669,46.30500858,53.35007037,61.71477365,72.86803693
158.5,-0.942245864,46.62155183,0.196116472,33.97041915,37.20687443,41.15729406,46.62155183,53.69614073,62.10873877,73.35131006
159.5,-0.956537923,46.93314404,0.19545489,34.25113618,37.49385217,41.45320759,46.93314404,54.03548596,62.49452276,73.82596855
160.5,-0.971440492,47.23962058,0.194769279,34.5306634,37.77857793,41.74561603,47.23962058,54.36794129,62.87195405,74.2918484
161.5,-0.986947308,47.54082604,0.194060758,34.80881186,38.06087423,42.03435353,47.54082604,54.69335479,63.24087599,74.74880046
162.5,-1.003050887,47.83661466,0.193330477,35.08539244,38.34056621,42.31926009,47.83661466,55.01158787,63.60114743,75.19669066
163.5,-1.019742425,48.12685082,0.192579614,35.36021624,38.61748204,42.60018191,48.12685082,55.32251577,63.95264314,75.63540025
164.5,-1.037011698,48.41140938,0.191809374,35.63309497,38.89145331,42.87697183,48.41140938,55.62602801,64.29525433,76.0648259
165.5,-1.054846957,48.69017613,0.191020995,35.90384139,39.16231542,43.14948969,48.69017613,55.9220288,64.62888901,76.48487978
166.5,-1.073234825,48.9630481,0.190215739,36.17226975,39.42990799,43.4176027,48.9630481,56.21043748,64.95347244,76.8954897
167.5,-1.092160195,49.22993391,0.189394901,36.43819618,39.69407521,43.68118578,49.22993391,56.49118881,65.26894746,77.29659902
168.5,-1.111606122,49.49075409,0.188559804,36.70143915,39.95466626,43.94012186,49.49075409,56.76423337,65.57527484,77.68816668
169.5,-1.131553723,49.74544132,0.187711798,36.96181994,40.21153565,44.19430225,49.74544132,57.02953776,65.87243353,78.0701671
170.5,-1.151982079,49.99394068,0.186852266,37.21916305,40.4645436,44.4436269,49.99394068,57.2870849,66.16042095,78.44259001
171.5,-1.172868141,50.23620985,0.185982617,37.47329665,40.71355642,44.68800466,50.23620985,57.53687418,66.43925318,78.80544037
172.5,-1.19418462,50.47222213,0.185104331,37.72405025,40.95844577,44.92735442,50.47222213,57.77892568,66.70896797,79.15873364
173.5,-1.215907492,50.70195581,0.184218803,37.97126574,41.19909297,45.16160204,50.70195581,58.01326503,66.96961412,79.5025122
174.5,-1.238005268,50.92540942,0.183327556,38.2147829,41.4353838,45.39068521,50.92540942,58.23994486,67.22126661,79.83682168
175.5,-1.260445591,51.14259229,0.182432113,38.45444923,41.66721226,45.61455072,51.14259229,58.45903143,67.46401722,80.16172522
176.5,-1.283193626,51.3535268,0.181534018,38.69011819,41.89448008,45.83315528,51.3535268,58.67060766,67.69797665,80.47729968
177.5,-1.306212032,51.55824831,0.180634839,38.92164966,42.11709702,46.0464657,51.55824831,58.87477302,67.92327441,80.78363524
178.5,-1.329460945,51.75680513,0.179736168,39.14891037,42.33498116,46.25445894,51.75680513,59.07164337,68.14005866,81.08083497
179.5,-1.35289798,51.94925841,0.178839614,39.37177435,42.54805916,46.45712228,51.94925841,59.26135066,68.34849595,81.36901438
180.5,-1.376478254,52.13568193,0.177946804,39.59012338,42.7562665,46.65445329,52.13568193,59.44404265,68.5487709,81.64830091
181.5,-1.400154426,52.31616197,0.177059379,39.80384736,42.95954776,46.84645992,52.31616197,59.61988254,68.74108582,81.91883344
182.5,-1.423876772,52.49079703,0.17617899,40.01284477,43.1578568,47.03316051,52.49079703,59.78904852,68.92566027,82.18076174
183.5,-1.447593267,52.65969757,0.175307296,40.21702302,43.35115698,47.21458375,52.65969757,59.95173329,69.10273048,82.43424593
