Length,L,M,S,P3,P15,P50,P85,P97
89,-3.521,12.4815,8.058,10.8,11.5,12.5,13.6,14.6
89.5,-3.521,12.6017,8.048,10.9,11.6,12.6,13.7,14.7
90,-3.521,12.7209,8.041,11,11.7,12.7,13.8,14.9
90.5,-3.521,12.8392,8.034,11.1,11.8,12.8,14,15
91,-3.521,12.9569,803,11.2,11.9,13,14.1,15.1
91.5,-3.521,130.742,8.026,11.3,12,13.1,14.2,15.3
92,-3.521,13.191,8.025,11.4,12.2,13.2,14.4,15.4
92.5,-3.521,133.075,8.025,11.5,12.3,13.3,14.5,15.5
93,-3.521,134.239,8.026,11.6,12.4,13.4,14.6,15.7
93.5,-3.521,135.404,8.029,11.7,12.5,13.5,14.7,15.8
94,-3.521,136.572,8.034,11.8,12.6,13.7,14.9,16
94.5,-3.521,137.746,804,11.9,12.7,13.8,15,16.1
95,-3.521,138.928,8.047,12,12.8,13.9,15.1,16.2
95.5,-3.521,14.012,8.056,12.1,12.9,14,15.3,16.4
96,-3.521,141.325,8.067,12.2,13,14.1,15.4,16.5
96.5,-3.521,142.544,8.078,12.3,13.1,14.3,15.5,16.7
97,-3.521,143.782,8.092,12.4,13.2,14.4,15.7,16.8
97.5,-3.521,145.038,8.106,12.5,13.4,14.5,15.8,17
98,-3.521,146.316,8.122,12.6,13.5,14.6,15.9,17.1
98.5,-3.521,147.614,8.139,12.7,13.6,14.8,16.1,17.3
99,-3.521,148.934,8.157,12.8,13.7,14.9,16.2,17.4
99.5,-3.521,150.275,8.177,12.9,13.8,15,16.4,17.6
100,-3.521,151.637,8.198,13,13.9,15.2,16.5,17.8
100.5,-3.521,153.018,822,13.2,14.1,15.3,16.7,17.9
101,-3.521,154.419,8.243,13.3,14.2,15.4,16.8,18.1
101.5,-3.521,155.838,8.267,13.4,14.3,15.6,17,18.3
102,-3.521,157.276,8.292,13.5,14.5,15.7,17.2,18.5
102.5,-3.521,158.732,8.317,13.6,14.6,15.9,17.3,18.6
103,-3.521,160.206,8.343,13.8,14.7,16,17.5,18.8
103.5,-3.521,161.697,837,13.9,14.8,16.2,17.7,19
104,-3.521,163.204,8.397,14,15,16.3,17.8,19.2
104.5,-3.521,164.728,8.425,14.1,15.1,16.5,18,19.4
105,-3.521,166.268,8.453,14.2,15.3,16.6,18.2,19.6
105.5,-3.521,167.826,8.481,14.4,15.4,16.8,18.4,19.8
106,-3.521,169.401,851,14.5,15.5,16.9,18.5,20
106.5,-3.521,170.995,8.539,14.6,15.7,17.1,18.7,20.2
107,-3.521,172.607,8.568,14.8,15.8,17.3,18.9,20.4
107.5,-3.521,174.237,8.599,14.9,16,17.4,19.1,20.6
108,-3.521,175.885,8.629,15,16.1,17.6,19.3,20.8
108.5,-3.521,177.553,866,15.2,16.3,17.8,19.5,21
109,-3.521,179.242,8.691,15.3,16.4,17.9,19.6,21.2
109.5,-3.521,180.954,8.723,15.4,16.6,18.1,19.8,21.4
110,-3.521,182.689,8.755,15.6,16.7,18.3,20,21.6
